INSTNM,CITY,STABBR,ZIP,CARNEGIESIZE,INSTSIZE,LONGITUD,LATITUDE
Carrington College-Pleasant Hill Campus,Pleasant Hill,CA,94523-1984,2,1,-122.072153,37.962649
Universal Technical Institute of California Inc,Rancho Cucamonga,CA,91730-0000,2,2,-117.576366,34.082782
Rancho Santiago Community College District Office,Santa Ana,CA,92706-1640,-2,-2,-117.868261,33.767331
CBD College,Los Angeles,CA,90010,2,2,-118.306221,34.06231
My Le's Beauty College,Sacramento,CA,95823-2513,-2,1,-121.452325,38.494851
PCI College,Cerritos,CA,90703,1,1,-118.100169,33.87475
Keck Graduate Institute,Claremont,CA,91711,2,1,-117.72351,34.093329
Miami Ad School-San Francisco,San Francisco,CA,94111,-2,1,-122.401198,37.795155
American Career College-Anaheim,Anaheim,CA,92801-0000,2,2,-117.975599,33.849912
Smith Chason College,Los Angeles,CA,90010,2,2,-118.302836,34.061409
Design's School of Cosmetology,Paso Robles,CA,93446,-2,1,-120.672526,35.648459
California State University-Channel Islands,Camarillo,CA,93012,3,3,-119.04356,34.162949
Paul Mitchell the School-Costa Mesa,Costa Mesa,CA,92626,-2,1,-117.927468,33.695103
San Joaquin Valley College-Ontario,Ontario,CA,91764-5107,2,1,-117.55038,34.068584
Milan Institute-Palm Desert,Palm Desert,CA,92211,-2,1,-116.353268,33.783343
InterCoast Colleges-Riverside,Riverside,CA,92508,-2,1,-117.281383,33.888511
University of Antelope Valley,Lancaster,CA,93534,2,-2,-118.134968,34.683587
California Healing Arts College,Carson,CA,90746-7323,-2,1,-118.265919,33.844718
NTMA Machinist Career College,Santa Fe Springs,CA,90670,-2,1,-118.074231,33.94302
West Coast University-Los Angeles,North Hollywood,CA,91606,2,2,-118.39941,34.187134
InterCoast Colleges-West Covina,West Covina,CA,91791,2,1,-117.897148,34.073357
Northcentral University,San Diego,CA,92123,3,3,-117.127296,32.829299
Folsom Lake College,Folsom,CA,95630,3,4,-121.127486,38.661372
ATI College-Whittier,Whitter,CA,90603-0000,1,1,-118.003687,33.948364
ATA College,El Cajon,CA,92020,1,1,-116.981781,32.819023
CES College,Burbank,CA,91502-2750,-2,1,-118.303297,34.180401
Stellar Career College,Modesto,CA,95356,-2,1,-121.071015,37.701963
University of California-Merced,Merced,CA,95343-5603,3,3,-120.424944,37.366237
North-West College-Riverside,Riverside,CA,92503,-2,1,-117.485881,33.9145
Sutter County Career Training Center,Yuba City,CA,95993,-2,1,-121.652275,39.139961
Career Care Institute,Lancaster,CA,93534,2,1,-118.15638,34.678236
Los Angeles College of Music,Pasadena,CA,91105,1,1,-118.150113,34.139293
Stanbridge University,Irvine,CA,92612,2,2,-117.857636,33.678879
United States University,San Diego,CA,92108,2,2,-117.162166,32.761148
San Joaquin Valley College-Modesto,Salida,CA,95368-9090,2,1,-121.092991,37.717403
UEI College-Chula Vista,Chula Vista,CA,91911-3262,-2,2,-117.065355,32.608605
